"","x"
"1579","96087"
"1580","96088"
"1581","96149"
"1582","96256"
"1583","96384"
"1584","96483"
"1585","96619"
"1586","96620"
"1587","96621"
"1588","96622"
"1589","96623"
"1590","96725"
"1591","97223"
"1592","97232"
"1593","97279"
"1594","97571"
"1595","97573"
"1596","97574"
"1597","97575"
"1598","97576"
"1599","97882"
"1600","97886"
"1601","98078"
"1602","98079"
"1603","98383"
"1604","98385"
"1605","98387"
"1606","98388"
"1607","98413"
"1608","98414"
"1609","98416"
"1610","98419"
"1611","98420"
"1612","98434"
"1613","98436"
"1614","98437"
"1615","98439"
"1616","98440"
"1617","98441"
"1618","98466"
"1619","98467"
"1620","98468"
"1621","98469"
"1622","98470"
"1623","98530"
"1624","98915"
"1625","98923"
"1626","98924"
"1627","98925"
"1628","98970"
"1629","98971"
"1630","99121"
"1631","99457"
"1632","99495"
"1633","99584"
"1634","99609"
"1635","99669"
"1636","99765"
"1637","99767"
"1638","99791"
"1639","99793"
"1640","99795"
"1641","99796"
"1642","99797"
"1643","99799"
"1644","99800"
"1645","99801"
"1646","99802"
"1647","99803"
"1648","99804"
"1649","99839"
"1650","99840"
"1651","99841"
"1652","99842"
"1653","99856"
"1654","99857"
"1655","99858"
"1656","99859"
"1657","99860"
"1658","99862"
"1659","99866"
"1660","99867"
"1661","99868"
"1662","99869"
"1663","99872"
"1664","99873"
"1665","99875"
"1666","100012"
"1667","100013"
"1668","100020"
"1669","100021"
"1670","100022"
"1671","100023"
"1672","100024"
"1673","100025"
"1674","100112"
"1675","100125"
"1676","100126"
"1677","100127"
"1678","100128"
"1679","100131"
"1680","100132"
"1681","100133"
"1682","100134"
"1683","100695"
"1684","100696"
"1685","100697"
"1686","100698"
"1687","100699"
"1688","100708"
"1689","100711"
"1690","100712"
"1691","100713"
"1692","100714"
"1693","100715"
"1694","100716"
"1695","100717"
"1696","100718"
"1697","100720"
"1698","100763"
"1699","100764"
"1700","100765"
"1701","100766"
"1702","100767"
"1703","100768"
"1704","100769"
"1705","100770"
"1706","100854"
"1707","100919"
"1708","100920"
"1709","100998"
"1710","101413"
"1711","101475"
"1712","101476"
